date,prix_pompe
2026-04-21,179.3
2026-04-22,180.4
2026-04-23,187.1
2026-04-24,186.3
2026-04-25,181.2
2026-04-26,183.0
2026-04-27,185.9
2026-04-28,184.2
2026-04-29,185.7
2026-04-30,187.5
2026-05-01,190.6
2026-05-02,190.5
2026-05-03,190.8
2026-05-04,190.6
2026-05-05,194.1
